品名,别名,CAS号
"1-异丙基-3-甲基吡唑-5-基N,N-二甲基氨基甲酸酯[含量＞20%]",异索威,119-38-0
3-异丙基-5-甲基苯基N-甲基氨基甲酸酯,猛杀威,2631-37-0
N-异丙基-N-苯基-氯乙酰胺,毒草胺,1918-16-7
异丙基苯,枯烯；异丙苯,98-82-8
3-异丙基苯基-N-氨基甲酸甲酯,间异丙威,64-00-6
"异丙基异丙苯基氢过氧化物[含量≤72%,含A型稀释剂≥28%]",过氧化氢二异丙苯,26762-93-6
异丙硫醇,硫代异丙醇；2-巯基丙烷,75-33-2
异丙醚,二异丙基醚,108-20-3
异丙烯基乙炔,,78-80-8
异丁胺,1-氨基-2-甲基丙烷,78-81-9
异丁基苯,异丁苯,538-93-2
异丁基环戊烷,,3788-32-7
异丁基乙烯基醚[稳定的],乙烯基异丁醚；异丁氧基乙烯,109-53-5
异丁腈,异丙基氰,78-82-0
异丁醛,2-甲基丙醛,78-84-2
异丁酸,2-甲基丙酸,79-31-2
异丁酸酐,异丁酐,97-72-3
异丁酸甲酯,,547-63-7
异丁酸乙酯,,97-62-1
异丁酸异丙酯,,617-50-5
异丁酸异丁酯,,97-85-8
异丁酸正丙酯,,644-49-5
异丁烷,2-甲基丙烷,75-28-5
异丁烯,2-甲基丙烯,115-11-7
异丁酰氯,氯化异丁酰,79-30-1
异佛尔酮二异氰酸酯,,4098-71-9
异庚烯,,68975-47-3
异己烯,,27236-46-0
异硫氰酸-1-萘酯,,551-06-4
异硫氰酸苯酯,苯基芥子油,103-72-0
异硫氰酸烯丙酯,人造芥子油；烯丙基异硫氰酸酯；烯丙基芥子油,20978
异氰基乙酸乙酯,,2999-46-4
异氰酸-3-氯-4-甲苯酯,3-氯-4-甲基苯基异氰酸酯,28479-22-3
异氰酸苯酯,苯基异氰酸酯,103-71-9
异氰酸对硝基苯酯,对硝基苯异氰酸酯；异氰酸-4硝基苯酯,100-28-7
异氰酸对溴苯酯,4-溴异氰酸苯酯,216631
异氰酸二氯苯酯,"3,4-二氯苯基异氰酸酯",102-36-3
异氰酸环己酯,环己基异氰酸酯,3173-53-3
异氰酸甲酯,甲基异氰酸酯,624-83-9
异氰酸三氟甲苯酯,三氟甲苯异氰酸酯,329-01-1
异氰酸十八酯,十八异氰酸酯,112-96-9
异氰酸叔丁酯,,1609-86-5
异氰酸乙酯,乙基异氰酸酯,109-90-0
异氰酸异丙酯,,1795-48-8
异氰酸异丁酯,,1873-29-6
异氰酸正丙酯,,110-78-1
异氰酸正丁酯,,111-36-4
异山梨醇二硝酸酯混合物[含乳糖、淀粉或磷酸≥60%],混合异山梨醇二硝酸酯,
异戊胺,1-氨基-3-甲基丁烷,107-85-7
异戊醇钠,异戊氧基钠,19533-24-5
异戊腈,氰化异丁烷,625-28-5
异戊酸甲酯,,556-24-1
异戊酸乙酯,,108-64-5
异戊酸异丙酯,,32665-23-9
异戊酰氯,,108-12-3
异辛烷,,26635-64-3
异辛烯,,5026-76-6
萤蒽,,206-44-0
油酸汞,,1191-80-6
淤渣硫酸,,
原丙酸三乙酯,"原丙酸乙酯；1,1,1-三乙氧基丙烷",115-80-0
原甲酸三甲酯,原甲酸甲酯；三甲氧基甲烷,149-73-5
原甲酸三乙酯,三乙氧基甲烷；原甲酸乙酯,122-51-0
原乙酸三甲酯,"1,1,1-三甲氧基乙烷",1445-45-0
月桂酸三丁基锡,,3090-36-6
杂戊醇,杂醇油,8013-75-0
樟脑油,樟木油,8008-51-3
锗烷,四氢化锗,7782-65-2
赭曲毒素,棕曲霉毒素,37203-43-3
赭曲毒素A,棕曲霉毒素A,303-47-9
正丙苯,丙苯；丙基苯,103-65-1
正丙基环戊烷,,2040-96-2
正丙硫醇,1-巯基丙烷；硫代正丙醇,107-03-9
正丙醚,二正丙醚,111-43-3
正丁胺,1-氨基丁烷,109-73-9
N-(1-正丁氨基甲酰基-2-苯并咪唑基)氨基甲酸甲酯,苯菌灵,17804-35-2
正丁醇,,71-36-3
正丁基苯,,104-51-8
N-正丁基苯胺,,1126-78-9
正丁基环戊烷,,2040-95-1
N-正丁基咪唑,"N-正丁基-1,3-二氮杂茂",4316-42-1
正丁基乙烯基醚[稳定的],正丁氧基乙烯；乙烯正丁醚,111-34-2
正丁腈,丙基氰,109-74-0
正丁硫醇,1-硫代丁醇,109-79-5
正丁醚,氧化二丁烷；二丁醚,142-96-1
正丁醛,,123-72-8
正丁酸,丁酸,107-92-6
正丁酸甲酯,,623-42-7
正丁酸乙烯酯[稳定的],乙烯基丁酸酯,123-20-6
正丁酸乙酯,,105-54-4
正丁酸异丙酯,,638-11-9
正丁酸正丙酯,,105-66-8
正丁酸正丁酯,丁酸正丁酯,109-21-7
正丁烷,丁烷,106-97-8
正丁酰氯,氯化丁酰,141-75-3
正庚胺,氨基庚烷,111-68-2
正庚醛,,111-71-7
正庚烷,庚烷,142-82-5
正硅酸甲酯,四甲氧基硅烷；硅酸四甲酯；原硅酸甲酯,681-84-5
正癸烷,,124-18-5
正己胺,1-氨基己烷,111-26-2
正己醛,,66-25-1
正己酸甲酯,,106-70-7
正己酸乙酯,,123-66-0
正己烷,己烷,110-54-3
正磷酸,磷酸,7664-38-2
正戊胺,1-氨基戊烷,110-58-7
正戊酸,戊酸,109-52-4
正戊酸甲酯,,624-24-8
正戊酸乙酯,,539-82-2
正戊酸正丙酯,,141-06-0
正戊烷,戊烷,109-66-0
正辛腈,庚基氰,124-12-9
正辛硫醇,巯基辛烷,111-88-6
正辛烷,,111-65-9
支链-4-壬基酚,,84852-15-3
仲丁胺,2-氨基丁烷,13952-84-6
"2-仲丁基-4,6-二硝基苯基-3-甲基丁-2-烯酸酯",乐杀螨,485-31-4
"2-仲丁基-4,6-二硝基酚","二硝基仲丁基苯酚；4,6-二硝基-2-仲丁基苯酚；地乐酚",88-85-7
仲丁基苯,仲丁苯,135-98-8
仲高碘酸钾,仲过碘酸钾；一缩原高碘酸钾,14691-87-3
仲高碘酸钠,仲过碘酸钠；一缩原高碘酸钠,13940-38-0
仲戊胺,1-甲基丁胺,625-30-9
2-重氮-1-萘酚-4-磺酸钠,,64173-96-2
2-重氮-1-萘酚-5-磺酸钠,,2657-00-3
2-重氮-1-萘酚-4-磺酰氯,,36451-09-9
2-重氮-1-萘酚-5-磺酰氯,,3770-97-6
重氮氨基苯,三氮二苯；苯氨基重氮苯,136-35-6
重氮甲烷,,334-88-3
重氮乙酸乙酯,重氮醋酸乙酯,623-73-4
重铬酸铵,红矾铵,2151163
重铬酸钡,,13477-01-5
重铬酸钾,红矾钾,7778-50-9
重铬酸锂,,13843-81-7
重铬酸铝,,
重铬酸钠,红矾钠,10588-01-9
重铬酸铯,,13530-67-1
重铬酸铜,,13675-47-3
重铬酸锌,,14018-95-2
重铬酸银,,2149122
重质苯,,
D-苎烯,,5989-27-5
左旋溶肉瘤素,左旋苯丙氨酸氮芥；米尔法兰,148-82-3
含易燃溶剂的合成树脂、油漆、辅助材料、涂料等制品[闭杯闪点≤60℃],,
